Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Age,Property Type,Property Location,Co-Applicant,Property Price
f,56,1933.05,low,working,sales staff,semi-urban,72809.58,241.08,n,n,3,809.44,0,unpossessed,5,agriculture,rural,1,119933.46
m,32,4952.91,low,working,hr staff,semi-urban,46837.47,495.81,n,y,1,780.4,0,unpossessed,14,commercial,rural,1,54791.0
f,65,988.19,high,pensioner,hr staff,semi-urban,45593.04,171.95,n,y,1,833.15,0,unpossessed,3,commercial,urban,0,72440.58
f,65,2222.435,high,pensioner,hr staff,rural,80057.92,298.54,n,y,2,832.7,1,unpossessed,6,commercial,semi-urban,1,121441.51
f,31,2614.77,low,working,high skill tech staff,semi-urban,113858.89,491.41,n,y,2,745.55,1,active,7,agriculture,semi-urban,1,208567.91
f,60,1234.92,low,state servant,secretaries,rural,34434.72,181.48,n,n,2,684.12,1,inactive,3,commercial,rural,1,43146.82
m,43,2361.56,low,working,laborers,semi-urban,152561.34,697.67,y,y,2,637.29,0,unpossessed,6,residential,semi-urban,1,221050.8
f,45,2222.435,low,state servant,managers,semi-urban,240311.77,807.64,n,n,2,812.26,0,active,6,commercial,urban,1,401040.7
f,38,1296.07,low,working,cooking staff,rural,35141.99,155.95,n,y,3,705.29,1,active,4,agriculture,rural,1,54903.44
m,18,1546.17,low,working,laborers,rural,42091.29,500.2,n,n,2,613.24,0,unpossessed,4,commercial,urban,1,67993.43
m,18,2416.86,low,state servant,core staff,semi-urban,25765.72,140.02,n,y,1,652.41,0,active,7,commercial,rural,1,32423.71
f,39,2719.74,low,commercial associate,high skill tech staff,semi-urban,20879.96,93.99,y,n,2,646.21,0,unpossessed,7,commercial,rural,0,33568.47
f,48,777.25,low,working,hr staff,semi-urban,96080.6,342.33,n,n,3,764.11,0,active,2,residential,semi-urban,1,146073.26
f,43,997.25,low,working,hr staff,rural,48894.06,178.06,y,n,1,726.28,0,unpossessed,3,agriculture,rural,1,80607.4
m,61,1664.52,low,working,core staff,semi-urban,72448.95,398.88,n,y,2,781.51,0,active,5,agriculture,urban,1,113464.01
f,54,3716.54,low,working,drivers,rural,116487.58,521.23,y,y,4,749.33,1,active,10,residential,urban,1,194442.39
f,61,2077.42,low,working,realty agents,semi-urban,70815.01,417.01,n,n,1,779.55,0,inactive,6,agriculture,rural,1,102502.2
m,64,2346.88,low,working,sales staff,rural,89489.99,327.14,n,y,1,803.04,0,active,6,agriculture,rural,1,148424.56
m,65,1523.03,high,pensioner,hr staff,semi-urban,66567.35,299.53,y,y,3,862.33,0,unpossessed,4,agriculture,semi-urban,0,118617.77
f,41,1837.17,low,working,security staff,rural,112910.57,422.61,y,n,2,722.74,0,inactive,5,agriculture,urban,1,128407.6
f,32,1537.82,low,working,laborers,rural,93103.63,351.54,y,y,3,671.65,0,inactive,4,commercial,urban,0,116861.82
